original_tier,original_amount,margin_rate,before_amount,before_shipping,before_total,before_margin,jump_probability,jump_decision,after_amount,after_shipping,after_total,after_margin,after_tier
tier_0_5000,3760.7749303308974,0.25,3760.7749303308974,1500,5260.774930330897,940.1937325827244,0.174,True,21690.79092295014,0,21690.79092295014,5422.697730737535,tier_20000_plus
tier_0_5000,3427.411241885128,0.25,3427.411241885128,1500,4927.411241885128,856.852810471282,0.174,True,21247.84359440942,0,21247.84359440942,5311.960898602355,tier_20000_plus
tier_0_5000,3840.0364825028637,0.25,3840.0364825028637,1500,5340.036482502864,960.0091206257159,0.174,False,3840.0364825028637,1500,5340.036482502864,960.0091206257159,tier_0_5000
tier_0_5000,4299.590674614214,0.25,4299.590674614214,1500,5799.590674614214,1074.8976686535534,0.174,False,4299.590674614214,1500,5799.590674614214,1074.8976686535534,tier_0_5000
tier_0_5000,3377.0694782702485,0.25,3377.0694782702485,1500,4877.0694782702485,844.2673695675621,0.174,True,22319.174510419183,0,22319.174510419183,5579.793627604796,tier_20000_plus
tier_0_5000,3377.0780976016804,0.25,3377.0780976016804,1500,4877.07809760168,844.2695244004201,0.174,False,3377.0780976016804,1500,4877.07809760168,844.2695244004201,tier_0_5000
tier_0_5000,4329.08672814138,0.25,4329.08672814138,1500,5829.08672814138,1082.271682035345,0.174,True,23340.450446023144,0,23340.450446023144,5835.112611505786,tier_20000_plus
tier_0_5000,3902.903232805277,0.25,3902.903232805277,1500,5402.903232805277,975.7258082013193,0.174,False,3902.903232805277,1500,5402.903232805277,975.7258082013193,tier_0_5000
tier_0_5000,3253.52594738415,0.25,3253.52594738415,1500,4753.525947384151,813.3814868460375,0.174,False,3253.52594738415,1500,4753.525947384151,813.3814868460375,tier_0_5000
tier_0_5000,3784.8440228826316,0.25,3784.8440228826316,1500,5284.844022882631,946.2110057206579,0.174,False,3784.8440228826316,1500,5284.844022882631,946.2110057206579,tier_0_5000
tier_0_5000,3256.7057112734574,0.25,3256.7057112734574,1500,4756.705711273457,814.1764278183643,0.174,False,3256.7057112734574,1500,4756.705711273457,814.1764278183643,tier_0_5000
tier_0_5000,3255.491879375615,0.25,3255.491879375615,1500,4755.491879375615,813.8729698439038,0.174,False,3255.491879375615,1500,4755.491879375615,813.8729698439038,tier_0_5000
tier_0_5000,3627.030192572168,0.25,3627.030192572168,1500,5127.030192572168,906.757548143042,0.174,False,3627.030192572168,1500,5127.030192572168,906.757548143042,tier_0_5000
tier_0_5000,2495.527871554656,0.25,2495.527871554656,1500,3995.527871554656,623.881967888664,0.174,False,2495.527871554656,1500,3995.527871554656,623.881967888664,tier_0_5000
tier_0_5000,2594.418137930658,0.25,2594.418137930658,1500,4094.418137930658,648.6045344826645,0.174,True,20124.827530354254,0,20124.827530354254,5031.2068825885635,tier_20000_plus
tier_0_5000,3204.799047148489,0.25,3204.799047148489,1500,4704.799047148489,801.1997617871223,0.174,False,3204.799047148489,1500,4704.799047148489,801.1997617871223,tier_0_5000
tier_0_5000,2968.2636618244273,0.25,2968.2636618244273,1500,4468.263661824427,742.0659154561068,0.174,False,2968.2636618244273,1500,4468.263661824427,742.0659154561068,tier_0_5000
tier_0_5000,3664.9798496125186,0.25,3664.9798496125186,1500,5164.979849612519,916.2449624031296,0.174,False,3664.9798496125186,1500,5164.979849612519,916.2449624031296,tier_0_5000
tier_0_5000,3023.2873603513644,0.25,3023.2873603513644,1500,4523.287360351364,755.8218400878411,0.174,False,3023.2873603513644,1500,4523.287360351364,755.8218400878411,tier_0_5000
tier_0_5000,2758.540556798972,0.25,2758.540556798972,1500,4258.540556798972,689.635139199743,0.174,False,2758.540556798972,1500,4258.540556798972,689.635139199743,tier_0_5000
tier_0_5000,4269.465603683816,0.25,4269.465603683816,1500,5769.465603683816,1067.366400920954,0.174,False,4269.465603683816,1500,5769.465603683816,1067.366400920954,tier_0_5000
tier_0_5000,3381.4674422445687,0.25,3381.4674422445687,1500,4881.467442244569,845.3668605611422,0.174,False,3381.4674422445687,1500,4881.467442244569,845.3668605611422,tier_0_5000
tier_0_5000,3535.45230746116,0.25,3535.45230746116,1500,5035.452307461161,883.86307686529,0.174,True,22115.02607914742,0,22115.02607914742,5528.756519786855,tier_20000_plus
tier_0_5000,2752.0072022379354,0.25,2752.0072022379354,1500,4252.007202237935,688.0018005594839,0.174,True,21839.86720443336,0,21839.86720443336,5459.96680110834,tier_20000_plus
tier_0_5000,3214.199069624279,0.25,3214.199069624279,1500,4714.199069624279,803.5497674060698,0.174,False,3214.199069624279,1500,4714.199069624279,803.5497674060698,tier_0_5000
tier_0_5000,3558.2343595976795,0.25,3558.2343595976795,1500,5058.23435959768,889.5585898994199,0.174,True,22671.34007645047,0,22671.34007645047,5667.835019112617,tier_20000_plus
